processed_text,label,lda_text,tokens,dominant_topic
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
discussion_EN session_EN kaafi_HI useful_EN tha_EN overall_EN,positive,discussion session kaafi useful tha overall,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'overall']",3
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI overall_EN,positive,topic bahut ache se cover kiya gaya overall,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'overall']",1
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI slides_EN achi_HI thi_EN,negative,lecture bilkul samajh nahi aaya slides achi thi,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'slides', 'achi', 'thi']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN manageable_EN tha_EN according_EN me_HI,neutral,lecture manageable tha according me,"['lecture', 'manageable', 'tha', 'according']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,content theek tha par delivery slow thi thoda aur practice chahiye,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",3
lecture_EN manageable_EN tha_EN honestly_EN,neutral,lecture manageable tha honestly,"['lecture', 'manageable', 'tha', 'honestly']",2
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
aaj_HI lecture_EN bohut_HI informative_EN tha_EN,positive,aaj lecture bohut informative tha,"['aaj', 'lecture', 'bohut', 'informative', 'tha']",2
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
lecture_EN manageable_EN tha_EN honestly_EN,neutral,lecture manageable tha honestly,"['lecture', 'manageable', 'tha', 'honestly']",2
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN examples_EN ache_EN,positive,sir teaching style bahut accha hai examples ache,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'examples', 'ache']",0
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN honestly_EN,positive,class engaging thi aur boring nahi thi honestly,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'honestly']",3
class_EN bhot_HI boring_EN thi_EN honestly_EN,negative,class bhot boring thi honestly,"['class', 'bhot', 'boring', 'thi', 'honestly']",3
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,topic theek tha aur clarity chahiye thi aur thoda detail me hona chahiye tha,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN according_EN me_HI,negative,topic bahut poorly explain hua according me,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'according']",4
lecture_EN time_EN waste_EN jaisa_HI laga_HI according_EN me_HI,negative,lecture time waste jaisa laga according me,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'according']",0
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
notes_EN aur_HI explanation_EN dono_HI helpful_EN honestly_EN,positive,notes aur explanation dono helpful honestly,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'honestly']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
aaj_HI lecture_EN bahut_HI informative_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,aaj lecture bahut informative tha thoda aur practice chahiye,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN slides_EN achi_HI thi_EN,neutral,concept samajh aaya par pace fast tha slides achi thi,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'slides', 'achi', 'thi']",4
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI thoda_HI aur_HI practice_EN chahiye_HI,positive,topic bahut ache se cover kiya gaya thoda aur practice chahiye,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI honestly_EN,neutral,lecture theek tha aur examples ho sakte honestly,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'honestly']",2
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN environment_EN bahut_HI achha_POS tha_EN slides_EN achi_HI thi_EN,positive,class environment bahut achha tha slides achi thi,"['class', 'environment', 'bahut', 'achha', 'tha', 'slides', 'achi', 'thi']",3
aaj_HI lecture_EN bahut_HI informative_EN tha_EN,positive,aaj lecture bahut informative tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN manageable_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture manageable tha thoda slow hona chahiye tha,"['lecture', 'manageable', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN pace_EN bahut_HI fast_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,class pace bahut fast tha thoda slow hona chahiye tha,"['class', 'pace', 'bahut', 'fast', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI slides_EN achi_HI thi_EN,negative,teacher ne topic properly explain nahi kiya slides achi thi,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'slides', 'achi', 'thi']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI examples_EN ache_EN,positive,lecture interesting tha aur samajh bhi aaya examples ache,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'examples', 'ache']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN manageable_EN tha_EN according_EN me_HI,neutral,lecture manageable tha according me,"['lecture', 'manageable', 'tha', 'according']",2
kal_EN class_EN bhot_HI achi_HI thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,kal class bhot achi thi aur thoda detail me hona chahiye tha,"['kal', 'class', 'bhot', 'achi', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
discussion_EN session_EN kaafi_HI useful_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,discussion session kaafi useful tha thoda slow hona chahiye tha,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
kal_EN class_EN achaah_HI thi_EN,positive,kal class achaah thi,"['kal', 'class', 'achaah', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI examples_EN ache_EN,neutral,class achi thi par thodi boring bhi examples ache,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'examples', 'ache']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
kal_EN class_EN accha_POS thi_EN,positive,kal class accha thi,"['kal', 'class', 'accha', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
topic_EN bahut_HI poorly_EN explain_EN hua_EN honestly_EN,negative,topic bahut poorly explain hua honestly,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'honestly']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
teacher_EN ne_HI concept_EN bohut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bohut clearly samjhaya,"['teacher', 'concept', 'bohut', 'clearly', 'samjhaya']",0
class_EN me_HI interest_EN nahi_HI aaya_HI examples_EN ache_EN,negative,class me interest nahi aaya examples ache,"['class', 'nahi', 'aaya', 'examples', 'ache']",2
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN accha_POS thi_EN par_EN thodi_HI borin_HI bhi_HI,neutral,class accha thi par thodi borin bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'borin', 'bhi']",4
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
lecture_EN confusing_EN tha_EN overall_EN,negative,lecture confusing tha overall,"['lecture', 'confusing', 'tha', 'overall']",2
class_EN pace_EN bahut_HI fast_EN tha_EN slides_EN achi_HI thi_EN,negative,class pace bahut fast tha slides achi thi,"['class', 'pace', 'bahut', 'fast', 'tha', 'slides', 'achi', 'thi']",3
teacher_EN ne_HI concept_EN bohut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bohut clearly samjhaya,"['teacher', 'concept', 'bohut', 'clearly', 'samjhaya']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN acha_POS thi_EN par_EN thodi_HI borin_HI bhi_HI,neutral,class acha thi par thodi borin bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'borin', 'bhi']",4
class_EN pace_EN bahut_HI fast_EN tha_EN slides_EN achi_HI thi_EN,negative,class pace bahut fast tha slides achi thi,"['class', 'pace', 'bahut', 'fast', 'tha', 'slides', 'achi', 'thi']",3
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN slides_EN achi_HI thi_EN,neutral,topic theek tha aur clarity chahiye thi slides achi thi,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'slides', 'achi', 'thi']",3
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bahut clearly samjhaya,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya']",0
topic_EN bahut_HI poorly_EN explain_EN hua_EN slides_EN achi_HI thi_EN,negative,topic bahut poorly explain hua slides achi thi,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'slides', 'achi', 'thi']",3
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI aur_HI practice_EN chahiye_HI,positive,teacher ne concept bahut clearly samjhaya thoda aur practice chahiye,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
kal_EN class_EN acha_POS thi_EN,positive,kal class acha thi,"['kal', 'class', 'acha', 'thi']",3
class_EN pace_EN bahut_HI fast_EN tha_EN according_EN me_HI,negative,class pace bahut fast tha according me,"['class', 'pace', 'bahut', 'fast', 'tha', 'according']",4
session_EN okay_EN tha_EN according_EN me_HI,neutral,session okay tha according me,"['session', 'okay', 'tha', 'according']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI honestly_EN,negative,teacher ne topic properly explain nahi kiya honestly,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'honestly']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
examples_EN clear_EN nahi_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,examples clear nahi thoda aur practice chahiye,"['examples', 'clear', 'nahi', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
class_EN environment_EN bahut_HI achha_POS tha_EN honestly_EN,positive,class environment bahut achha tha honestly,"['class', 'environment', 'bahut', 'achha', 'tha', 'honestly']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
discussion_EN session_EN kaafi_HI useful_EN tha_EN,positive,discussion session kaafi useful tha,"['discussion', 'session', 'kaafi', 'useful', 'tha']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN environment_EN bahut_HI achha_POS tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,class environment bahut achha tha aur thoda detail me hona chahiye tha,"['class', 'environment', 'bahut', 'achha', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
kal_EN class_EN acha_POS thi_EN,positive,kal class acha thi,"['kal', 'class', 'acha', 'thi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI slides_EN achi_HI thi_EN,negative,lecture bilkul samajh nahi aaya slides achi thi,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'slides', 'achi', 'thi']",1
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,class theek thi bas thoda lamba tha thoda aur practice chahiye,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI slides_EN achi_HI thi_EN,negative,lecture bilkul samajh nahi aaya slides achi thi,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'slides', 'achi', 'thi']",1
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI,positive,topic bahut ache se cover kiya gaya,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
kal_EN class_EN bhot_HI achi_HI thi_EN honestly_EN,positive,kal class bhot achi thi honestly,"['kal', 'class', 'bhot', 'achi', 'thi', 'honestly']",3
notes_EN aur_HI explanation_EN dono_HI helpful_EN according_EN me_HI,positive,notes aur explanation dono helpful according me,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'according']",1
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN according_EN me_HI,neutral,concept samajh aaya par pace fast tha according me,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'according']",4
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
aaj_HI lecture_EN bahut_HI informative_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,aaj lecture bahut informative tha thoda aur practice chahiye,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN honestly_EN,neutral,content theek tha par delivery slow thi honestly,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'honestly']",3
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN manageable_EN tha_EN examples_EN ache_EN,neutral,lecture manageable tha examples ache,"['lecture', 'manageable', 'tha', 'examples', 'ache']",2
kal_EN class_EN accha_POS thi_EN,positive,kal class accha thi,"['kal', 'class', 'accha', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
teacher_EN ne_HI concept_EN bohut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bohut clearly samjhaya,"['teacher', 'concept', 'bohut', 'clearly', 'samjhaya']",0
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI examples_EN ache_EN,negative,teacher ne topic properly explain nahi kiya examples ache,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'examples', 'ache']",1
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI slides_EN achi_HI thi_EN,neutral,class achi thi par thodi boring bhi slides achi thi,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'slides', 'achi', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte thoda slow hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
examples_EN clear_EN nahi_HI honestly_EN,negative,examples clear nahi honestly,"['examples', 'clear', 'nahi', 'honestly']",2
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI according_EN me_HI,positive,topic bahut ache se cover kiya gaya according me,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'according']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
examples_EN clear_EN nahi_HI slides_EN achi_HI thi_EN,negative,examples clear nahi slides achi thi,"['examples', 'clear', 'nahi', 'slides', 'achi', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN overall_EN,positive,class engaging thi aur boring nahi thi overall,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'overall']",3
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
